ID US,User Story,ID Tâche,Tâche Technique Détaillée,Estimation (min),Responsable
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.1,"Créer méthode buildRecommendationPrompt() dans AIReportService",40,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.2,"Structurer prompt pour recommander 3 événements",35,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.3,"Inclure justifications basées sur données",30,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.4,"Implémenter méthode generateEventRecommendations()",25,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.5,"Ajouter route POST /backoffice/evenement/ai/generate-recommendations",15,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.6,"Ajouter bouton ""Recommandations AI"" dans index.html.twig",25,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.7,"Implémenter appel AJAX et affichage dans modal",35,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.8,"Styliser avec cartes pour chaque recommandation",40,Admin
US-5.31,"En tant qu'Admin, je souhaite générer recommandations d'événements via AI",T5.31.9,"Tester génération recommandations",25,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.1,"Créer méthode buildImprovementPrompt() dans AIReportService",40,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.2,"Structurer prompt pour plan d'amélioration",35,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.3,"Inclure priorités (HAUTE, MOYENNE, BASSE)",30,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.4,"Implémenter méthode generateImprovementSuggestions()",25,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.5,"Ajouter route POST /backoffice/evenement/ai/generate-improvements",15,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.6,"Ajouter bouton ""Suggestions d'Amélioration AI"" dans index.html.twig",25,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.7,"Implémenter appel AJAX et affichage dans modal",35,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.8,"Styliser avec badges de priorité colorés",40,Admin
US-5.32,"En tant qu'Admin, je souhaite générer suggestions d'amélioration via AI",T5.32.9,"Tester génération suggestions",25,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.1,"Implémenter méthode areParticipationsOpen() dans Evenement.php",25,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.2,"Vérifier workflowStatus === 'planifie'",15,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.3,"Vérifier !isCanceled",10,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.4,"Créer méthode canAcceptParticipations() (alias)",10,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.5,"Modifier FrontofficeEvenementController->participate()",30,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.6,"Vérifier canAcceptParticipations() avant affichage",20,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.7,"Rediriger avec message d'erreur si bloqué",20,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.8,"Modifier index.html.twig pour cacher bouton ""Participer""",30,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.9,"Afficher messages conditionnels (En cours, Terminé, Annulé)",35,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.10,"Styliser messages avec couleurs appropriées",25,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.11,"Tester blocage participations (en_cours)",20,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.12,"Tester blocage participations (termine)",20,Admin
US-5.33,"Le système empêche participations aux événements en cours ou terminés",T5.33.13,"Tester blocage participations (annule)",20,Admin
